artists,track_name,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_s;;;
['Sam Smith;Kim Petras'],Unholy (feat. Kim Petras),100,0,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4,dance,156.943;;
['David Guetta;Bebe Rexha'],I'm Good (Blue),98,0,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,dance,175.238;;
['Manuel Turizo'],La Bachata,98,0,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,latin,162.637;;;
['Bad Bunny'],Tití Me Preguntó,97,0,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4,latin,243.716;;;
['Bad Bunny;Chencho Corleone'],Me Porto Bonito,97,0,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,latin,178.567;;
['OneRepublic'],I Ain't Worried,96,0,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano,148.485;;;
['Bad Bunny'],Efecto,96,0,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,latin,213.061;;;
['Bad Bunny;Bomba Estéreo'],Ojitos Lindos,95,0,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,latin,258.298;;
['Bad Bunny'],Moscow Mule,94,0,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4,latin,245.939;;;
['Bad Bunny'],Neverita,93,0,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,4,latin,173.119;;;
['Tom Odell'],Another Love,93,0,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,chill,244.36;;;
['Beyoncé'],CUFF IT,93,0,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,dance,225.388;;;
['The Neighbourhood'],Sweater Weather,93,0,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,240.4;;;
['Nicki Minaj'],Super Freaky Girl,92,0,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance,170.977;;;
['Charlie Puth;Jung Kook;BTS'],Left and Right (Feat. Jung Kook of BTS),92,0,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4,dance,154.486;
['Rema;Selena Gomez'],Calm Down (with Selena Gomez),92,0,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,pop,239.317;;
['Arctic Monkeys'],I Wanna Be Yours,92,0,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,garage,183.956;;;
['Rauw Alejandro;Lyanno;Brray'],LOKERA,91,0,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,4,latin,195.294;
['Drake;21 Savage'],Jimmy Cooks (feat. 21 Savage),91,0,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,hip-hop,218.364;;
['Luar La L'],Caile,91,0,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,3,latin,141.34;;;
['Bad Bunny;Jhayco'],Tarot,91,0,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,4,latin,237.894;;
['Ruth B.'],Dandelions,90,0,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3,pop,233.72;;;
['Bad Bunny;Rauw Alejandro'],Party,90,0,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4,latino,227.628;;
['Lil Nas X'],STAR WALKIN' (League of Legends Worlds Anthem),90,0,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,4,hip-hop,210.575;;;
['The Weeknd;Gesaffelstein'],I Was Never There,90,0,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,pop,241.066;;
['Stephen Sanchez'],Until I Found You,90,0,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,pop,177.72;;;
"['Beach Weather'],""Sex, Drugs, Etc."",90,0,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,4,rock,196.784";;;
['James Hype;Miggy Dela Rosa'],Ferrari,90,0,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,dance,186.661;;
['The Weeknd;Daft Punk'],Starboy,90,0,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,pop,230.453;;
['Doja Cat'],Vegas (From the Original Motion Picture Soundtrack ELVIS),90,0,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance,182.906;;;
['Bad Bunny;Tony Dize'],La Corriente,90,0,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,4,latino,198.367;;
['Shakira;Rauw Alejandro'],Te Felicito,90,0,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,4,latin,172.235;;
['Kate Bush'],Running Up That Hill (A Deal With God),90,0,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,piano,298.933;;;
['Billie Eilish;Khalid'],lovely (with Khalid),89,0,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,pop,200.185;;
['Calvin Harris;Dua Lipa'],One Kiss (with Dua Lipa),89,0,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,dance,214.846;;
['Coolio;L.V.'],Gangsta's Paradise,89,0,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,funk,240.693;;
